타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 1:38:00,session_1770302915208_te36vyjba,편집6-1_화면,미션 시작,편집6-1_추가미션시작,,편집6-1_추가미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:03,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI추천2,"{""currentCut"":1,""selectedIndex"":2,""selectedText"":""이 순간을 기억해!"",""missionStage"":2}",AI추천2 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:03,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,팝업확인,"{""currentCut"":1,""missionStage"":1}",팝업확인 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:05,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI추천3,"{""currentCut"":1,""selectedIndex"":3,""selectedText"":""카페에서의 특별한 하루"",""missionStage"":2}",AI추천3 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:05,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI자막추천,"{""currentCut"":1,""hasVideo"":false,""currentSubtitle"":""이 순간을 기억해!"",""missionStage"":2,""isRecommend"":true}",AI자막추천 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:08,session_1770302915208_te36vyjba,편집6-1_화면,미션 완료,편집6-1_추가미션완료,완료시간:7.7초,편집6-1_추가미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:10,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:11,session_1770302915208_te36vyjba,기획1-1A,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:11,session_1770302915208_te36vyjba,기획1-1A,화면 진입,,,기획1-1A 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:12,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:13,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""prevCutId"":null,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:13,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
